`id_lot`,`id_company`,`id_medicine`,`unit_value`,`quality_control`
'1','117','5','2957.98','3'
'2','30','96','1194.48','3'
'3','83','140','2904.38','4'
'4','84','80','2452.93','6'
'5','144','67','3295.38','4'
'6','20','3','1340.74','7'
'7','76','40','1739.61','2'
'8','44','16','3986.66','2'
'9','47','101','2055.86','7'
'10','130','16','3271.34','5'
'11','5','40','2565.26','5'
'12','30','63','3015.27','10'
'13','72','90','2308.74','4'
'14','20','127','3376.23','5'
'15','34','6','1711.3','9'
'16','116','70','3112.96','0'
'17','16','115','560.4','5'
'18','134','52','2616.64','2'
'19','63','148','1707.0','10'
'20','45','143','949.85','1'
'21','8','86','1415.75','5'
'22','37','11','2068.81','3'
'23','17','130','752.33','4'
'24','147','145','594.26','10'
'25','5','42','2392.42','6'
'26','128','10','702.12','1'
'27','4','9','980.31','2'
'28','4','27','1205.73','5'
'29','10','135','2150.93','2'
'30','127','36','2361.19','0'
'31','12','147','2558.26','8'
'32','86','75','634.05','10'
'33','91','24','1530.2','1'
'34','5','102','414.55','4'
'35','139','113','980.08','3'
'36','85','35','3680.7','8'
'37','54','14','3254.72','7'
'38','91','81','904.27','7'
'39','73','7','2305.85','4'
'40','136','73','1956.54','1'
'41','117','104','3190.84','1'
'42','104','99','1018.79','4'
'43','52','47','3681.51','0'
'44','87','20','2741.42','9'
'45','111','73','2381.89','9'
'46','120','21','2627.14','2'
'47','16','83','3536.29','0'
'48','98','32','1497.72','6'
'49','22','7','687.35','6'
'50','5','73','1624.09','4'
'51','16','73','852.86','3'
'52','56','8','1819.56','5'
'53','111','27','1266.69','4'
'54','94','30','2676.33','0'
'55','131','33','2469.51','7'
'56','6','62','398.68','4'
'57','118','117','1288.8','1'
'58','125','45','3729.09','9'
'59','56','69','476.85','4'
'60','26','70','3000.28','5'
'61','128','29','3632.95','1'
'62','40','7','474.49','9'
'63','92','62','396.07','5'
'64','51','127','3989.18','7'
'65','70','122','2172.84','3'
'66','3','42','3405.54','1'
'67','23','58','2415.42','6'
'68','62','136','2835.77','1'
'69','129','66','1981.35','5'
'70','20','131','2887.36','3'
'71','26','54','1026.58','4'
'72','17','121','3799.38','6'
'73','142','141','1285.65','8'
'74','113','137','2293.83','1'
'75','106','43','2047.03','2'
'76','121','142','2751.27','2'
'77','122','99','2822.7','10'
'78','46','40','3041.53','0'
'79','76','116','2123.41','8'
'80','34','100','1331.55','5'
'81','28','103','1131.68','1'
'82','139','150','3412.96','9'
'83','81','140','2006.23','1'
'84','14','47','1176.33','3'
'85','109','71','2321.14','5'
'86','133','16','1956.31','6'
'87','127','24','2250.77','7'
'88','138','52','2299.94','1'
'89','138','1','3988.87','5'
'90','140','128','1022.27','4'
'91','124','64','1385.11','6'
'92','84','131','1420.65','1'
'93','24','59','2459.1','1'
'94','38','142','1631.26','5'
'95','81','99','1625.07','2'
'96','122','87','3134.79','9'
'97','67','58','1613.35','7'
'98','87','147','1066.99','4'
'99','118','87','1451.82','9'
'100','39','16','1663.43','6'
'101','17','108','1956.96','7'
'102','56','59','3292.26','10'
'103','79','61','3029.32','1'
'104','118','35','3453.4','5'
'105','38','22','598.7','6'
'106','127','121','913.62','10'
'107','103','109','2187.87','6'
'108','63','92','2625.53','8'
'109','84','39','2060.97','9'
'110','104','46','2795.91','2'
'111','44','19','2372.0','6'
'112','15','91','270.58','8'
'113','130','81','1472.33','9'
'114','8','50','3519.19','6'
'115','59','60','1064.92','7'
'116','104','40','3199.6','5'
'117','18','126','2732.99','10'
'118','74','114','3551.36','9'
'119','109','87','341.85','7'
'120','55','15','2604.51','10'
'121','31','135','682.62','6'
'122','131','1','3920.38','4'
'123','3','4','457.44','0'
'124','110','83','2451.77','2'
'125','39','46','3905.16','3'
'126','40','84','931.24','10'
'127','34','136','959.4','0'
'128','20','147','1525.55','10'
'129','143','90','1004.23','0'
'130','142','28','2947.31','3'
'131','57','19','1020.21','4'
'132','80','143','1403.47','2'
'133','34','81','1183.98','4'
'134','80','77','1699.58','7'
'135','150','45','3019.65','3'
'136','140','66','1406.64','1'
'137','2','95','2583.03','0'
'138','8','103','1691.84','4'
'139','108','115','508.11','7'
'140','137','94','582.48','5'
'141','39','61','3562.97','6'
'142','70','89','3583.89','2'
'143','85','17','555.84','3'
'144','133','125','2090.06','3'
'145','34','18','1605.24','9'
'146','78','150','1561.44','10'
'147','78','134','1211.63','0'
'148','124','133','1875.79','10'
'149','1','108','798.23','10'
'150','78','139','417.77','1'
