`id_order`,`id_lot`,`id_dealer`,`id_pharmacy`,`order_date`,`medicine_amount`
'1','57','16','69','2012-06-03 09:05:41','37'
'2','100','9','30','2012-05-07 12:35:30','40'
'3','127','36','137','2012-04-30 04:40:12','234'
'4','131','32','58','2012-06-01 09:24:11','36'
'5','19','75','35','2012-04-09 16:21:52','285'
'6','23','20','137','2012-05-18 20:03:42','295'
'7','82','14','17','2012-05-03 23:43:15','218'
'8','133','100','15','2012-04-10 04:16:45','58'
'9','51','48','128','2012-05-11 08:45:30','279'
'10','143','24','48','2012-05-06 21:08:32','77'
'11','57','119','22','2012-04-16 20:57:51','221'
'12','16','10','93','2012-05-31 01:23:59','143'
'13','128','83','77','2012-05-20 06:17:12','185'
'14','114','26','14','2012-05-14 11:36:45','260'
'15','139','129','95','2012-05-04 05:23:43','251'
'16','44','113','120','2012-05-16 02:36:47','49'
'17','133','61','69','2012-05-03 21:25:27','36'
'18','112','143','55','2012-04-02 18:58:54','168'
'19','52','76','35','2012-04-28 01:20:50','149'
'20','56','14','105','2012-04-09 00:31:09','108'
'21','7','22','87','2012-04-11 19:30:54','50'
'22','73','15','25','2012-04-14 04:09:08','108'
'23','132','142','49','2012-04-24 04:38:05','167'
'24','106','29','19','2012-04-03 19:56:26','63'
'25','65','118','12','2012-05-21 21:11:06','56'
'26','27','10','98','2012-04-24 10:46:10','94'
'27','49','88','82','2012-05-05 06:19:02','225'
'28','106','96','92','2012-04-23 07:23:44','203'
'29','81','110','73','2012-06-03 20:34:14','23'
'30','131','121','49','2012-05-01 03:12:53','204'
'31','15','113','127','2012-04-18 23:47:40','45'
'32','71','23','16','2012-05-14 01:38:50','218'
'33','12','30','39','2012-04-01 21:11:54','69'
'34','7','126','133','2012-05-31 22:35:04','288'
'35','149','14','144','2012-06-02 21:33:25','108'
'36','82','2','25','2012-05-09 06:53:18','140'
'37','75','123','79','2012-05-01 19:59:11','121'
'38','127','77','18','2012-05-10 23:22:19','112'
'39','112','110','131','2012-04-25 18:22:37','283'
'40','136','13','119','2012-05-09 04:04:31','46'
'41','86','78','137','2012-04-17 10:59:17','213'
'42','109','7','13','2012-05-15 21:46:52','65'
'43','136','108','112','2012-04-17 00:29:44','209'
'44','3','6','113','2012-04-03 03:09:10','28'
'45','100','137','59','2012-04-16 09:27:37','146'
'46','100','8','73','2012-05-21 22:52:15','253'
'47','107','93','19','2012-04-03 15:24:22','36'
'48','115','49','101','2012-05-10 06:08:09','292'
'49','6','144','82','2012-04-23 11:38:10','94'
'50','142','135','34','2012-05-23 06:59:36','56'
'51','54','129','63','2012-04-18 17:02:32','113'
'52','11','56','49','2012-05-09 11:58:54','201'
'53','86','112','76','2012-05-18 10:09:47','48'
'54','66','21','5','2012-05-02 23:40:14','202'
'55','28','84','19','2012-04-02 06:06:41','204'
'56','132','91','81','2012-05-12 06:13:03','252'
'57','108','37','95','2012-04-25 18:28:31','283'
'58','55','143','91','2012-05-02 22:37:08','244'
'59','71','69','26','2012-04-16 16:08:15','62'
'60','46','78','129','2012-05-18 23:13:31','80'
'61','123','83','92','2012-05-27 12:37:01','147'
'62','21','104','35','2012-04-24 04:35:25','121'
'63','29','27','95','2012-04-14 22:27:14','34'
'64','105','117','146','2012-04-11 13:43:42','280'
'65','34','13','100','2012-05-18 15:40:40','161'
'66','150','21','13','2012-05-08 23:05:02','91'
'67','99','83','46','2012-05-26 06:30:47','191'
'68','54','86','147','2012-04-23 06:32:38','72'
'69','114','24','93','2012-05-10 12:19:43','210'
'70','7','2','4','2012-06-01 04:00:07','201'
'71','129','2','75','2012-05-16 03:42:37','248'
'72','123','110','95','2012-05-07 03:02:31','147'
'73','15','76','53','2012-05-26 21:52:15','71'
'74','27','76','120','2012-05-30 05:54:26','204'
'75','145','124','147','2012-04-20 09:09:21','224'
'76','74','87','38','2012-05-24 04:33:54','288'
'77','25','32','61','2012-05-28 14:36:45','32'
'78','8','130','97','2012-04-14 09:39:14','215'
'79','74','111','145','2012-05-29 03:51:54','169'
'80','106','39','128','2012-05-29 03:48:23','247'
'81','115','43','63','2012-04-03 11:34:43','153'
'82','65','74','125','2012-05-02 11:38:07','93'
'83','90','44','93','2012-05-24 03:18:28','128'
'84','109','4','62','2012-04-26 11:56:27','240'
